기능그룹,세부 그룹,기능명 (페이지),기능 짧은 desciption,논의 필요,우선순위,상태,Function ID
반려동물 프로필,프로필,반려동물 프로필 조회,,,매우높음(1순위),,
내 정보 관리,내 정보 관리,회원 정보 조회,"개인정보, 반려동물 프로필, 배송지 관리",,높음(2순위),,
내 정보 관리,내 정보 관리,회원 정보 수정,각 정보마다 수정 화면으로 이동,"PD 논의, 논의 완료",낮음(4순위),,
내 정보 관리,내 정보 관리,로그아웃,로그아웃 모달 표시 이후 로그아웃,"PD 논의, 논의 완료",높음(2순위),,
내 정보 관리,내 정보 관리,회원 탈퇴,회원 탈퇴 모달 표시 후 회원 탈퇴,"PD 논의, 논의 완료",높음(2순위),,
내 정보 관리,배송지 관리,배송지 목록 조회,배송지 관련 데이터 노출,,높음(2순위),,
내 정보 관리,배송지 관리,기본 배송지 설정,"터치 시 이후 결제부터 기본 배송지로 설정, 노출 ",,보통(3순위),,
내 정보 관리,배송지 관리,배송지 추가,배송지 관련 데이터 추가,,매우높음(1순위),,
내 정보 관리,배송지 관리,배송지 수정,배송지 관련 데이터 수정,"PD 논의, 논의 완료",높음(2순위),,
내 정보 관리,배송지 관리,배송지 삭제,삭제 확인 팝업 확인 시 삭제,"PD 논의, 논의 완료",낮음(4순위),,
마이페이지홈,홈,반려동물 프로필 이동,터치 시 '마이페이지_(각 반려동물) 프로필 화면'으로 이동,,매우높음(1순위),,
마이페이지홈,홈,내 정보 관리 진입,터치 시 ‘마이페이지_내 정보 관리 화면’ 으로 이동,,높음(2순위),,
마이페이지홈,홈,반려동물 프로필 추가,터치 시 '마이페이지_프로필 추가 화면'으로 이동,,매우높음(1순위),,
마이페이지홈,홈,반려동물 프로필 조회,"반려동물 추가 시 업로드 하는 사진, 반려동물 이름",,매우높음(1순위),,
