기능그룹,세부 그룹,기능명 (페이지),기능 짧은 desciption,우선순위/논의 사항,확인필요,상태,Function ID
리뷰,포토리뷰 필터,포토 리뷰만 보기,,낮음(4순위),,,
리뷰,반려동물리뷰 필터,반려동물 조건형 필터,"종, 나이, 체중, 중성화여부, 건강 관심사 등 조건을 선택하여 리뷰를 필터링",보통(3순위),PD확인필요,,
리뷰,상품 옵션 필터,상품에 옵션이 있을 경우 필터,,낮음(4순위),,,
리뷰,리뷰 목록,리뷰 필터 초기화,"리뷰 필터 조건 전체 해제, 전체 리뷰 목록으로 초기화",높음(2순위),,,
리뷰,리뷰 유형,"사용기한, 재구매 여부 등",리뷰 자체에 대한 옵션이 있을 경우,보통(3순위),,,
,,,,,,,
온보딩|회원관리,,,,매우높음(1순위),,,FUNC-002
온보딩,스플래시,스플래시 화면,앱 진입 시 항상 로고와 함께 표시,보통(3순위),,,
온보딩|회원관리,전화번호 입력,전화번호 입력,,매우낮음(5순위),,,
온보딩|회원관리,기본이미지,기본이미지,,,,,
메인화면,,,,매우높음(1순위),,,
메인화면,검색 영역,검색 화면 진입,메인 상단 검색 영역 선택 시 검색 화면으로 이동,높음(2순위),,,
메인화면,장바구니,장바구니 화면 진입,장바구니 아이콘 선택 시 장바구니 화면으로 이동,매우높음(1순위),,,
메인화면,상단 카테고리 필터,상품 카테고리 필터 탭,상단 카테고리/상품 필터 선택 시 해당 조건에 맞는 상품 목록 제공 (탭 형태),매우높음(1순위),,,
메인화면,배너 광고,배너 조회,메인 배너 영역에 프로모션 또는 콘텐츠 배너 노출,보통(3순위),,,
메인화면,상품 추천,맞춤 상품 추천,현재 선택된 반려동물 프로필 기준 추천 상품 제공,매우높음(1순위),,,
메인화면,타임딜 섹션,타임딜 상품 조회,진행 중 또는 예정된 상품 목록 제공 (’타임딜’ 부분 참고),매우높음(1순위),,,
메인화면,타임딜 섹션,타임딜 상세 진입,타임딜 상품 선택 시 해당 상품 상세 화면으로 이동 (’타임딜’ 부분 참고),매우높음(1순위),,,
검색,,검색 페이지,,높음(2순위),,,FUNC-003
검색,검색 결과 조회,검색 결과 화면,,높음(2순위),,,
검색,검색 결과 정렬,검색 결과 정렬,,높음(2순위),,,
검색,장바구니 담기,검색 결과 페이지 내 장바구니 담기,삭제 가능-와이어프레임 확인 후 논의 필요,낮음(4순위),,,
검색,카테고리로 둘러보기,검색 페이지 내 카테고리 로 둘러보기,,낮음(4순위),,,
검색,최근 검색어 없을 시,Empty View,,낮음(4순위),,,
상품 상세,,상품 상세 페이지 (공통),,매우높음(1순위),,,
상품 상세,상품 기본 정보,상품 기본 정보 조회 (상단),"상품 상세 상단 대표 이미지, 상품명, 가격(판매가), 할인 정보(할인율), 별점, 리뷰 수 주요 정보 제공",매우높음(1순위),,,
상품 상세,고정 CTA,"장바구니, 바로구매, 좋아요 버튼",고정 CTA,매우높음(1순위),,,
상품 추천,,"상품 추천 페이지 ",페이지 자체는 메인화면 → 카테고리별 화면과 UI 거의 동일,매우높음(1순위),,,
상품 추천,추천 상품,맞춤 추천 상품 조회,선택된 반려 동물 프로필을 기준으로 개인화 추천 상품 제공,높음(2순위),,,
상품 추천,추천 상품,추천 기준 조회,현재 반려동물에게 중요한 상품 선택 기준을 태그 형태로 제공,낮음(4순위),,,
상품 추천,추천 상품,카테고리별 추천 상품 조회,각 상품 카테고리별 추천 상품 제공,높음(2순위),,,
상품 추천,추천 상품,추천 상품 정보 조회,"상품 이미지, 상품명, 가격, 적합도 등 주요 정보 제공",높음(2순위),,,
상품 추천,추천 근거,상품 추천 근거 조회,해당 반려동물에게 상품을 추천하는 이유 및 주의 사항 제공,보통(3순위),,,
상품 추천,추천 상품,추천 상품 상세 진입,추천 상품 상세 정보 조회 - 상품 상세 참고,매우높음(1순위),,,
상품 추천,상품 비교,추천 상품 비교 추가,,높음(2순위),,,
상품 추천,추천 상품 상세,추천 상품 리뷰 진입,상품 상세 내 ‘리뷰 조회’ 와 동일,높음(2순위),,,
상품 추천,추천 상품 상세,재입고 알림 신청,상품 상세 내 ‘재입고 알림 신청’ 과 동일,낮음(4순위),,,
상품 추천,상품 정렬,추천 상품 뷰 정렬,,,,,
리뷰,,리뷰 탭 | 리뷰 페이지,,높음(2순위),,,
리뷰,리뷰 요약,리뷰 요약 조회,"상품에 등록된 리뷰 데이터 기준으로 평균 별점, 전체 리뷰 수 및 AI 리뷰 요약 정보 제공",보통(3순위),,,
리뷰,리뷰 목록,리뷰 정렬,"추천순(리뷰 ‘좋아요’ 버튼이 눌린 순), 최신순, 별점높은순, 별점 낮은 순",보통(3순위),,,
리뷰,리뷰 상세,리뷰 상세 조회,"작성자 정보, 작성자 반려 동물 정보, 별점, 작성일, 상품 사용기간 만족도, 재구매 횟수, 리뷰 내용(기본 100자)",매우높음(1순위),,,
리뷰,리뷰 상세,리뷰 더보기,"리뷰 내용이 기본자(100자)를 초과하는 경우, ‘더보기’ 버튼 제공, 선택 시 전체 리뷰 내용을 펼쳐서 조회",낮음(4순위),,,
리뷰,리뷰 상세,리뷰 추천,"리뷰의 도움이 돼요/추천 버튼 선택 시 사용자 반응을 저장하고 좋아요 수 갱신, 이후 ‘추천순’ 정렬에 반영",낮음(4순위),,,
리뷰,리뷰 상세,리뷰 신고,"신고 버튼 선택 시 리뷰 신고 화면으로 이동, 사유 선택하고 신고할 수 있도록 조치",매우낮음(5순위),,,
리뷰,평균 별점,리뷰 평균 별점,,,,,
리뷰,리뷰 작성,리뷰 작성,,높음(2순위),,,
리뷰,리뷰 별 필터,리뷰 필터 부분,"리뷰 필터 부분 ",보통(3순위),PD확인필요,,
상품 비교,,메인 네비게이션 내 상품 비교,상품 추가 → 검색 페이지로 유아이 똑같이,높음(2순위),,,
상품 비교,상품 추가,상품 추가,상품 추가 페이지,높음(2순위),,,
상품 비교,예외 케이스,카테고리가 다른 상품군끼리 비교하려는 경우,,보통(3순위),,,
타임딜,,메인 페이지 내 타임딜 섹션 → 타임딜 화면,,매우높음(1순위),,,
좋아요,,메인 네비게이션 내 좋아요 화면,,보통(3순위),,,
,,,,,,,
좋아요,상품 나열,상품 나열,좋아요 화면,보통(3순위),,,
타임딜,오픈 예정,타임딜 오픈 예정 Tab,,낮음(4순위),,,
타임딜,진행 중,타임딜 진행 중 Tab,,낮음(4순위),,,
타임딜,"타임딜 Empty ",타임딜이 없는 경우,,낮음(4순위),,,
타임딜,타임딜 상태 조회,타임딜 상품별 시작/종료/잔여 시각 제공,,매우높음(1순위),,,
상품 비교,비교 상품,비교 상품 조회,상품 비교,높음(2순위),,,
상품 비교,비교 상품,비교 상품 변경,비교 중인 상품을 제거하거나 다른 상품으로 변경,보통(3순위),,,
상품 비교,AI 분석,비교 분석 요약,비교 상품의 주요 차이점과 장단점을 Ai 기반으로 요약 제공,보통(3순위),,,
상품 비교,AI 분석,반려동물 맞춤 추천,선택된 반려동물 프로필을 기준으로 비교 상품 중 더 적합한 상품과 근거 제공,보통(3순위),,,
상품 비교,구매,바로 구매,비교 화면 내 선택한 상품 기준으로 구매 절차로 이동,보통(3순위),,,
검색,최근 검색어 조회,최근 검색어 키워드,최근 검색어 노출,보통(3순위),,,FUNC-003-02
검색,상품 검색,기본 검색,"검색창에 검색어를 입력 한 후 ‘검색 버튼’ 또는 키보드 내 ‘엔터’ 클릭 시, 해당 검색어 기준으로 상품 검색 수행",높음(2순위),BE 확인필요,,FUNC-003-01
온보딩|회원관리,프로필 등록,반려 동물 정보 입력,회원가입 후 나타나는 온보딩 화면,매우높음(1순위),,,FUNC-002-02
리뷰,포토 리뷰,대표 포토 리뷰 조회,"상품에 등록된 포토 리뷰 중 대표 이미지 4개로 노출, 전체 포토 리뷰수 함께 제공 (최신순 4개)",보통(3순위),,,
리뷰,포토 리뷰,포토리뷰 전체보기,대표 포토 리뷰 섹션 내 ‘전체보기’ 버튼 클릭 시 포토 리뷰 목록 화면으로 이동,보통(3순위),,,
